Donor_ID,Donor_SMILES,PCE
9,N#C[C](c1nc(c(s1)[CH]c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)c1ccccc1)C#N,1.48
10,CCCC[C@H](C[Si]1(C[C@H](CCCC)CC)c2cc(sc2c2c1cc(s2)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)CC,2.09
11,CCCC[C@H](CSc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CC)c1ccc(s1)SC[C@H](CCCC)CC)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CC)CC,9.2
12,CCCCCCc1ccc(c2c1C1=N/C/2=C\c2[nH]c(c3c2c(CCCCCC)ccc3CCCCCC)/C=C\2/N=C(/C=c\3/[nH]/c(=C\1)/c1c(CCCCCC)ccc(c31)CCCCCC)c1c(CCCCCC)ccc(c21)CCCCCC)CCCCCC,1.4
13,CCCCCCc1ccc(c2c1/C/1=C\c3[nH]c(c4c3c(CCCCCC)ccc4CCCCCC)/N=C/3\N=C(/C=c/4\[nH]/c(=C/C2=N1)/c1c(CCCCCC)ccc(c41)CCCCCC)c1c3c(CCCCCC)ccc1CCCCCC)CCCCCC,2.4
14,CCCCCC[C]1C=C[C](C2=C1C1=N/C/2=N\c2[nH]c(c3c2c(CCCCCC)ccc3CCCCCC)/C=C\2/N=C(/C=c\3/[nH]/c(=N\1)/c1c(CCCCCC)ccc(c31)CCCCCC)c1c(CCCCCC)ccc(c21)CCCCCC)CCCCCC,2.8
15,CCCC[C@H](Cc1cc(sc1c1ccc(s1)c1sc(cc1C[C@@H](CCCC)CC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1ccc(s1)/C=C\1/SC(N(C1=O)CC)[C](C#N)C#N)C[C@@H](CCCC)CC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1ccc(s1)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)C[C@@H](CCCC)CC)CC,5.16
16,CCCC[C@H](COc1c2sc(cc2c(c2c1cc(s2)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)OC[C@H](CCCC)CC)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)CC,4.08
17,CCCCCCc1ccc(s1)c1ccc(s1)c1cc(F)c(c2c1nsn2)c1cc2c(s1)c(C#C[Si](C(C)C)(C(C)C)C(C)C)c1c(c2C#C[Si](C(C)C)(C(C)C)C(C)C)sc(c1)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC,5.69
18,CCCC[C@H](COc1ccc(cc1)c1c2cc(sc2c(c2c1sc(c2)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)c1ccc(cc1)OC[C@H](CCCC)CC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)CC,4.34
