PCE
1.36
1.24
3.16
2.1
2.7
2.9
0.5
1.55
3.52
1.72
1.48
2.09
9.2
1.4
2.4
2.8
5.16
4.08
5.69
4.34
2.43
1.1
1.94
3.94
7.03
2.76
3.61
3.15
2.56
3.68
0.01
2.09
4.26
2.23
2.43
3.25
1.71
2.58
3.11
4.13
12.08
1.04
1.51
1.14
1.27
3.29
9.8
7.8
9.05
6.37
7.62
0.07
0.22
0.31
0.63
1.43
0.27
0.85
0.6
0.91
8.03
4.64
5.87
2.23
4.3
1.33
2.86
2.89
3.55
3.05
4.46
5.38
4.56
5.24
6.76
5.25
6.07
5.98
3.47
3.58
1.31
2.75
6.5
4.89
1.71
1.26
0.97
1.21
0.48
2
2.03
1.98
0.5
0.38
0.46
1.24
1.33
9.73
4.33
2.84
5.26
3.44
3.34
1.72
0.85
2.45
3.7
1.5
0.8
1.1
1.5
4.9
6.2
1.94
2.69
0.71
7.8
0.55
1.73
5.25
1.19
4.99
5
1.23
5.29
1.08
1.57
0.79
1.14
0.24
0.39
5.61
3.09
0.85
0.47
0.8
0.69
5.21
4.83
6.05
3.1
6.5
2.5
3.58
3.19
6.23
8.67
7.12
5.42
1.48
1.21
3.84
4.34
4.87
3.53
3.69
3.31
3.22
3.53
3.08
3.9
1.8
1.14
2.87
2.98
2.51
2.36
1.04
1.54
1.95
1.56
4.25
7.91
5.55
3.54
0.5
0.7
2.05
0.42
8.01
2.8
8.56
7.14
6.96
2.5
5.21
5.9
4.88
7.2
6.1
5.1
2.09
0.36
4.06
2.99
1.66
1.11
3.7
5.2
4.8
2.4
3.5
6.6
6.67
5.36
6.02
0.76
3.52
2.36
1.15
1.63
4.64
3.48
3.01
2.45
0.83
0.94
4.62
5.89
6.26
2.26
5.07
4.19
7.12
6.01
4.75
6.3
5.82
3.29
3.37
2.69
2.5
2.68
1.73
3.24
6.4
6.9
1.87
1.16
7.43
0.52
3.66
2.7
5.05
1.6
1.5
1.2
2.08
1.17
1.85
1.02
3.62
4.18
5.94
5.26
3.89
11.02
4.02
5.06
6.26
3.01
3.91
3.5
4.38
3.64
4.65
5.73
3.35
2.95
5.45
0.49
2.6
3.1
4.53
1.58
1.2
5.3
5.64
4.24
6.64
5.1
4.3
5.02
4.12
4.01
2.83
1.34
2.63
0.71
1.98
3.68
7.97
0.2
0.35
3.21
5.07
7.63
4.97
7.57
5.34
5.07
2.48
5.96
5.72
5.1
5.6
2
2.69
2.99
3.14
3.34
4.56
4.99
5.2
7.72
3.5
4.54
6.55
4.4
8.06
6.3
3.21
2.2
0.27
0.55
7.17
7.42
6.61
2.73
4.16
4.08
3.03
4.77
6.33
1.16
0.25
6.85
4.57
3.37
4.86
4.02
4.22
3.95
5.04
6.04
4.82
5.39
0.7
0.68
0.98
0.74
0.86
4.71
6.24
0.33
0.51
3.66
4.92
3.73
3.83
4.54
0.6
0.96
1.6
5.73
7.81
1.52
1.59
5.03
2.34
5.51
2.7
4.2
0.5
2.6
2.48
3.6
2.17
2.09
1.42
6.3
7.3
1.03
0.12
0.41
2.69
2.68
7.7
8.23
0.01
5.57
0.004
1.3
3.72
1.52
0.93
1.32
1.34
0.27
4.65
1.25
0.003
0.04
0.65
0.42
0.04
0.18
0.67
8.26
7.83
6.98
0.94
5.04
2.28
5.06
4.5
5.5
6.42
3.6
4.6
6.1
5.78
7.7
3.02
3.33
1.49
4.36
4.51
6.18
4.1
2.8
2.1
6.02
4.71
4.42
5.51
3.75
0.72
1.5
1.8
5.69
6.28
4.2
0.1
5.32
6.32
7.65
4.4
1.82
0.87
4.4
2.92
0.01
0.06
0.82
0.12
5.45
7.16
6.27
2.13
4.2
1.97
2.42
0.59
0.48
0.4
2.64
2.31
0.05
0.02
3.53
5.81
6.22
9.08
9.23
9.68
9.87
9.89
7.35
2.19
6.42
7.62
10.29
8.98
2.28
1.5
4.02
3.28
4.74
2.36
4.52
2.79
1.04
2.45
2.57
2.7
5.5
4
5.8
0.59
1.23
0.7
1.33
5.69
7.4
4.2
9.2
6.87
6.63
6.84
6.51
4.8
5.48
3.02
2
5.7
6.7
5
8.45
3.13
5.61
1.9
0.7
6.19
5.13
4.8
3.16
7.26
0.51
9.14
5.88
1.14
1.26
7.2
5.23
7.21
6.11
7.37
4.72
7.24
2.52
2.56
3.76
5.54
9.14
5.7
5.43
1.46
1.91
4.58
2.03
4.22
4.5
0.65
0.39
0.53
0.39
3.12
4.58
0.61
7.8
4.5
4.3
1.7
10.52
7.06
