pce,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.69,0.09669001,0.24493316,0.023520708,1.4544299,2.2337303,1.0756356,0.20715293,0.41430387,1.2675887,0.91871864,0.38223627,1.5345622,0.18186605,0.2767832,0.6442076,0.64441025,0.9072685,1.2189771,0.17553075,1.735317,0.30631587,0.36951375,1.0325998,0.42392677,1.3535064,1.1188401,0.21669354,0.56067777,2.6689508,1.2990556,0.059571445,0.057024688,0.027945518,0.5645422,0.018420264,0.3783872,0.04483977,0.027895644,0.30041492,0.55747265,0.19266954,0.12790857,0.33998728,0,0.50983703,0.37928945,0,0.30693132,1.6044459,0,0.28948724,0,1.2057427,0.65096146,0.47008288,0.16946776,0.3399251,0.53912115,0.37253225,0.0786003,0.44625157,0,0.24003176,0.086232424,0.114328854,0.6984589,0.68559957,1.644187,1.8226701,0.071964815,0.37870815,0.5207467,0.68746924,0.347091,0.80691266,0.21751432,0.39745653,0.3774801,0.38462096,2.7155254,0.3270825,1.6172235,0.7946237,0.83823407,0.005510822,0.42316496,0.6066759,1.4040178,0.311518,1.0459275,0.34282827,0.953501,0.071304396,0.32944548,1.3509328,1.1317818,0.718357,1.1446563,1.5899732,0.5888167,0.43223128,0.76949817,0.6289511,0,1.6751313,0.21533704,1.0771626,0.14618021,0.62791026,2.0162704,0.45396486,0.3339139,1.3440304,0.15133739,0.49946684,0.4268752,2.0427449,0,0.9939936,0.4261788,1.1089262,1.2330421,1.6009638,0.38902733,0.5790446,0.27496904,0.36622867,1.233624
2.2,1.4653453,0.44733784,0.34161952,1.4544299,2.2337303,1.5561283,2.6711705,0.32918507,1.2675887,0.50602055,0.502315,1.5345622,0.9705861,1.3075718,0.48751706,0.722869,0.9072685,1.2189771,0.415908,0.54129505,1.2047317,0.9815988,1.0325998,0.6256505,0.40101698,0.43804455,0.52677226,0.7536348,0.5147864,0.54179627,0.32816702,0.57888836,0.2563774,0.89642084,0.31339797,0.34593025,0.48263472,0.9541963,0.84645313,0.8226286,0.42254838,0.9512485,0.76676273,0.90555793,1.6490976,0.9977952,0.83307105,0.4974525,1.6044459,0.78958076,0.7934008,0.59396994,0.8154568,0.12889044,1.0431776,0.46100163,0.22059456,0.7247987,0.80401886,0.7191606,1.6346982,0.67573875,0.74986607,0.5685505,0.26946014,0.6984589,1.0328909,1.644187,1.8226701,0.23615363,0.3842411,1.9532194,0.99491394,0.7143551,0.9228134,0.9584976,0.8506601,1.5111961,0.6240083,0.8445733,0.43827522,1.6172235,1.5794277,0.7754428,0.7071219,0.55736434,0.6066759,1.4040178,0.60534817,1.0459275,0.500126,1.2045151,0.8358079,0.66710746,1.3509328,0.8589488,0.734688,1.1446563,1.5899732,0.7027062,0.8482412,1.0305368,1.0764973,1.7061316,1.6751313,0.3303432,1.0771626,0.60566187,1.9898803,1.0254779,0.8619112,0.47477627,1.3440304,0.8182007,1.3697999,0.86620766,2.0427449,0.462545,0.9939936,1.4257092,1.1089262,1.2330421,1.6009638,0.8700533,0.8940292,0.8204199,0.6546367,0.69642746
0.6,0.9309408,0.23842767,0.26281306,0.42085883,0.4519,0.6625024,0.57237875,0.7002144,0.36676115,3.2397735,0.41654077,0.37738094,1.2987716,0.5021417,0.87748665,0.4285091,0.6123926,0.5762782,0.4804235,0.640861,0.3117414,0.43996197,0.4687546,0.6068347,1.4552075,0.39648038,0.79308426,0.91235924,2.2128456,3.0995233,0.80651385,0.60159975,0.8064387,0.87881887,0.11791682,0.3080926,0.2168482,1.0562166,0.340562,1.6487253,0.20396495,0.60452783,0.64245427,0.1254702,1.324266,0.28731096,0.8925384,0.2825588,0.41364712,0.30720282,0.40202853,0.5442246,0.36462986,0.66483253,1.6084412,0.78439206,0.24471915,0.84638417,0.5030701,0.37689924,1.0291914,0.19733249,0.69508314,0.4131636,0.46635807,0.5502685,0.4421514,0.6895012,0.64189076,0.6853595,0.22495899,0.9637412,0.4705968,1.1661185,0.34492528,0.98344916,0.19965371,2.0384963,1.319279,2.5198154,0.9837524,0.5200496,0.30998254,0.96306705,0.057293385,0.7524155,0.32536194,0.18626763,0.19789766,0.3688749,0.1579963,1.8036323,0,0.4184984,0.6557204,1.3059822,0.80198693,0.5688093,0.47435248,0.5915863,0.18060604,1.3904611,0.17396781,0.39038455,0.27251068,0.5840712,0.42234454,0.93585587,0.62019944,0.6033593,0.2373187,0.08758572,0.46295857,0.44081485,0.81116,0.52355456,0.39842242,0,0.3024018,0.34627408,0.29504317,0.72175825,0.34055758,0.6995975,0.61580867,0.6812505,0.31263325,0.56856906
7.7,2.0541754,1.0849586,1.5787109,1.4544299,2.2337303,2.8737504,2.0097587,0.13419366,1.2675887,1.3099139,1.7853228,1.5345622,1.0103922,1.5259776,0.7937095,0.7680404,0.9072685,1.2189771,0.48155975,0.327118,1.7860873,1.3119925,1.0325998,0.8663932,0.79590327,1.2558806,0.80996233,1.2608675,0.53352827,0.59771717,1.0103694,1.4779944,2.0694704,1.2497882,1.1225519,0.6603077,0.5613778,2.2660813,0.45799693,1.1448971,1.3104353,0.60338104,1.9036841,0.9778704,1.4548846,0.8079417,0.63675,0.7244308,1.6044459,1.3247604,1.9448822,0.5159819,1.6791543,1.0740554,1.1834309,0.5485797,0.6494713,1.7530938,0.5737556,1.117734,2.4432843,2.3010664,0.9581241,1.4217427,1.4341888,0.9032668,0.85209394,1.8713931,1.8226701,0.597533,0.57781625,2.8560433,0.99981374,1.5165194,1.6911304,1.5578675,1.3856114,2.391626,1.3958889,0.34325287,1.6741248,1.6172235,2.5911279,1.27512,2.0573428,2.0720856,0.7010996,1.4040178,1.0005298,1.0459275,0.5622316,0.45864436,0.9948852,0.80050486,1.3509328,2.4080946,1.6010419,1.1446563,1.5899732,1.7103435,1.3542044,1.8110375,0.5909556,0.7670007,1.6751313,1.0628297,1.0771626,1.2656616,2.53345,0.57288194,0.971015,0.685588,1.3440304,1.1715965,1.7699193,0.6122697,2.0427449,1.6558297,0.9939936,1.075725,1.1089262,1.2330421,1.6009638,1.0790272,0.89420074,2.724966,0.7550288,0.82485986
0.27,0.685266,0.77950776,0.41916415,0.52244765,0.616314,0.6657734,0.09670189,0.16668597,0.63551897,3.2397735,1.7226114,0.6413822,0.89767927,0.360741,0.6348845,1.1668166,0.5159864,0.71373755,0.52193934,1.9568166,0.60214937,0.9370979,0.34122726,0.68939984,0.80935913,0.67455506,0.61111814,0.87369436,0.76877487,3.0995233,0.3748943,1.0327656,0.47589248,0.56777984,0.1710476,0.39872295,0.11002453,1.2563403,1.1982545,2.2319613,0.6274224,0.80107176,1.237181,0.44249547,0.96270066,0.6892836,1.903093,1.2055256,0.500241,0.8368455,1.5665834,0.9186559,0.64278233,0.67895114,1.291112,0.8687941,0.42525223,0.8036841,1.0216395,0.46227193,0.27857965,0.730814,0.6681988,0.6728435,0.41646072,0.62197596,0.54303247,0.763449,1.2093273,0.44079915,0.2705776,1.9989794,0.8431608,0.50152385,0.46753824,0.8466343,1.6078396,2.0522377,0.5366228,0.5385563,1.2600607,0.92264616,0.8372618,1.6539149,0.42428207,1.4088001,0.5617255,0.31552115,0.42120898,0.25654894,0.351995,0.51713765,0.12234014,0.6540619,0.4806727,0.86449295,0.49866846,0.40529647,0.5480623,0.9597243,0.40569282,1.2386955,0.73632973,0.2248967,0.43173936,0.033635125,0.4321978,0.526904,0.9347892,0.8064616,0.34528375,1.7341256,0.51245147,0.23410136,0.6594294,0.52277654,0.32339975,0.09661913,0.3024018,2.212498,0.3836,0.44440326,0.77886796,1.1975603,0.7319576,0.14290766,0.57005554,0.40814745
6.26,1.3339974,1.1145589,1.0787158,1.4544299,2.2337303,1.5599391,3.6307552,0.2447013,1.2675887,1.2781279,1.7001117,1.5345622,0.70097595,2.002644,1.6923685,1.2797731,0.9072685,1.6793535,0.5699906,0.2889658,1.3277446,1.0160108,1.0325998,0.73955506,0.4267059,1.0119262,2.1806817,0.90326196,0.8430111,1.1571242,1.0961068,1.1198158,1.3068073,0.8119763,0.8887797,0.55708534,1.4903278,0.5099638,0.9044805,0.8708072,1.7207478,1.7456826,1.5562472,2.0825346,0.6479049,0.62700915,2.26087,1.5633513,1.6044459,1.1650088,2.7618473,1.5592245,3.0266135,1.7868614,2.2592485,0.39370978,0.9455739,0.69596493,1.2277951,3.2365508,2.119039,0.40518665,1.6678718,0.2846191,0.4610744,0.6984589,1.3819705,2.4009292,1.8226701,0.543074,1.2244477,3.1691265,1.4419657,0.9072025,0.80691266,1.5166498,1.0226475,3.8332527,1.8333201,1.0016435,1.1443946,1.6675963,1.4203691,1.0646415,0.77000576,1.495346,0.64086586,1.4040178,0.8219055,1.0459275,0.63817143,1.4515538,1.0697709,1.0650452,1.3509328,1.2562623,1.6812016,1.1446563,1.9104209,2.1203039,2.3412871,1.7522874,2.171695,2.0005283,1.6751313,0.53820795,1.0771626,1.6618649,2.4767005,1.164339,0.33399713,0.29622963,1.3440304,0.36145854,0.53084147,0.5211783,2.0427449,0.4383178,0.9939936,2.6612039,1.1089262,1.2330421,1.6009638,0.63528347,1.6611307,0.3306505,0.4862994,1.8493152
5.98,0.55582255,1.0458097,0.73363626,1.4544299,2.2337303,1.8760489,0.45976454,0.14983481,1.2675887,0.38019463,1.4807819,2.211371,1.0293987,0.72847265,0.41064242,0.8589582,1.0312785,1.2189771,0.53669864,1.4099663,1.4919667,0.5979801,1.0325998,0.95978874,0.2863822,0.5735454,0.8983829,0.9662725,0.56944,0.94373477,1.340749,0.56554693,0.96529937,1.4624423,0.5013212,0.94282997,0.80214304,1.3682343,0.52183753,1.3354294,1.7964063,1.2777197,1.7491789,1.7329133,1.5305586,1.0462071,1.3198267,1.5994687,1.6044459,0.2793949,1.4678824,1.1643051,0.640721,1.2588972,1.4742475,0.5027619,0.17092669,1.4016591,1.2828555,1.7969921,1.397563,2.1284447,0.748273,0.3062933,0.7326837,0.8262621,1.6401008,1.644187,1.8226701,0.9675995,0.5468863,1.8621227,1.2815144,0.6295118,1.1059499,2.075805,1.1127608,2.2814438,1.7941787,0.18781728,0.8942587,1.6172235,1.6260359,1.7091109,1.1828175,0.48549235,0.6066759,1.4040178,1.4138601,1.0459275,0.23386526,0.21776628,0.27978516,0.7945648,1.3509328,1.2075653,0.8339035,1.1446563,1.5899732,1.4576885,0.72807825,2.046744,1.3353599,1.0992674,1.6751313,0.8607988,1.0771626,0.97022724,0.5545281,1.022965,0.35405925,0.6849491,1.3440304,0.36101252,1.3578494,0.98749006,2.0427449,0.11591643,0.9939936,1.8808959,1.1089262,1.2330421,1.6009638,1.071479,1.4880557,1.982399,0.9389515,0.9383077
1.04,0.19350195,0.25389332,0.20717517,1.4544299,2.2337303,0.7735862,0.4049809,0.3836644,1.2675887,1.2339551,0.4243024,1.5345622,0.08337627,0.55821866,1.0505923,0.3789945,0.9072685,1.2189771,0.41295028,1.1350951,0.2895892,0.95445085,1.0325998,0.32139587,0.3074618,0.28304437,0.11584337,0.5793744,1.0203661,1.7064798,0,0.021913573,0.47238398,0.6191689,0.45055598,0.3292663,0.24152744,0.18853803,0.28751758,0.6756146,0.10693825,0.48256943,0.19763406,0.036263242,0.72661275,0.63253677,0.07693909,0.26574668,1.6044459,0.103826016,0.30736768,0.6395501,0.40139252,0.14175475,0.31108105,0.87782466,0,0,0.4635669,0.24056666,0.09300267,1.1584783,0.33961883,0.28032768,0.43809795,0.6984589,0.40449676,1.644187,1.8226701,0.20292974,0.1595166,0.9180748,0.6957504,0.37186688,0.094232425,0.6675044,0.3105621,0.6435271,0.50533694,1.6429956,0.5074365,1.6172235,0.115380675,0.46837357,0.18585776,0.3678772,0.6066759,1.4040178,0.10444252,1.0459275,0.22740582,0.7685353,0.07580292,0.5695545,1.3509328,0.4635959,0.62114286,1.1446563,1.5899732,0.59065485,0.5890913,0.42839152,0.25250635,0.3646358,1.6751313,0.3569981,1.0771626,0.3196826,0.70010406,0.93170077,0.35858423,0.10511801,1.3440304,0,0.5356288,0.46332115,2.0427449,0.32867622,0.9939936,0.77089447,1.1089262,1.2330421,1.6009638,0.43102017,0.3016113,0.28613055,0.14214897,0.24910338
2.7,0.4425418,0.32525182,0.16473112,0.5051516,0.47218782,1.5087209,0.2662522,0.38539538,0.47194287,3.2397735,0.53365165,0.49745396,0.03344269,0.35500643,0.8588015,0.47925034,0.37202978,0.33034834,0.44929102,1.5640659,0.47077516,0.51444507,0.4279343,0.86104643,0.8650044,0.39648038,0.9950392,0.92852086,1.1864796,3.0995233,0.18173394,0.62701195,0.7472526,0.56609374,0.06426786,0.6390261,0.44170606,0.13549343,0.6452265,0.7109613,1.4182731,0.82172656,0.6818645,0.49199122,0.6793313,0.72822857,0.3536973,1.3885952,1.1414003,0.105024755,0.6515674,0.6135297,0.35096827,0.6593318,0.7354169,0.058355913,0.08430797,1.0056046,0.5358198,0.2000937,0.5639746,0.18508692,0.6812639,0.19635852,0.6627256,0.4769129,0.57213336,0.8486814,0.6668958,0.12421119,0.39981085,0.5988414,0.59481084,0.62407947,0.74042505,0.8793728,0.18573746,0.58079565,0.58789927,1.9807097,0.47136384,0.39522666,1.5959443,0.81682014,0.046735883,2.116302,0.7228091,0.36831036,0.6021037,0.30944434,0.13325727,0.14474529,0,0.5163154,0.6030917,0.76101214,0.69602025,0.31336635,0.545151,0.76607937,0.62307864,1.2601435,0.6217847,0.17186275,0.66887546,0.2387971,0.43916705,0.7573533,1.0519633,0.74250793,0.33104637,0.31514418,1.1592909,0.51998866,0.8934124,0.48308715,0.54386383,0,0.3186919,0.47534436,0.30690026,0.43794093,0.4715546,0.7248445,0.61536366,0.42329663,0.17781052,0
2.9,0.5618854,0.7437748,0.3045083,0.51579183,0.5271914,1.410434,0.44465435,0.21576059,0.42207524,3.2397735,0.6088756,0.41187993,0.20749745,0.65373904,1.2016824,0.8030088,0.42342764,0.40881544,0.4410111,1.1252393,0.43454996,0.83074963,1.087968,0.4476205,0.61071503,0.5155531,0.5090751,1.1265826,1.50793,3.0995233,0.47530657,0.77640617,0.7222712,0.65111184,0.42285556,0.61955386,0.56591785,1.3334845,0.636483,0.8352143,1.1379875,1.0234418,0.69421285,0.5855462,1.5730412,0.7466434,0.5582634,0.73495287,0.44752982,1.1893849,0.40449327,0.387477,1.1411663,0.81870675,0.5536307,0.3752812,1.0284128,1.7748537,0.6531946,0.57408357,0.63273907,0.6077157,0.85495555,0.30599147,0.26206315,0.44057202,0.46156934,0.6411183,0.6112695,0.635635,0.3247819,0.8777093,0.5622642,0.55564946,0.65930593,0.7896808,0.2866033,0.87446535,0.48116064,0.6346951,0.1679907,0.6465021,2.446821,0.7986817,1.2713969,0.85532284,0.40103215,0.41701716,0.77503675,0.5308541,0.3316486,0.93576443,0.6170491,0.77801186,0.5748508,1.1854433,0.66950494,0.32177302,0.5294685,0.6471851,1.7157406,1.6280494,0.3807933,0.32268646,0.5630221,0.96051705,0.4938024,0.64030194,1.0891595,1.3590256,0.60634667,0.3335394,0.90785897,1.0072837,1.0501784,0.4432924,1.2401657,0.55241275,0.35980254,0.63207334,0.73601955,0.5134363,0.26284358,0.53500545,0.36609274,2.1696665,0.53491235,1.1776704
